requirement_id,requirement_group,chapter3_requirement,classification,scientifically_ready,full_production_rerun_required,low_risk_patch_applied,evidence_summary,blocker,evidence_paths
historical_window_2016_2022,core_architecture,Historical regional drifter pool covers 2016-2022.,partially_implemented,False,True,False,Local Phase 1 rankings exist for 7 prototype dates covering year(s): none. The target Chapter 3 window is 2016-2022.,Only the legacy three-date prototype evidence is present locally; the multi-year regional pool has not been built.,output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_baseline_selection_candidate.yaml; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_accepted_segment_registry.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_local_input_inventory.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_production_manifest.json; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_official_adoption_decision.json; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_official_adoption_decision.md
fixed_phase1_validation_box,core_architecture,Phase 1 uses a fixed phase1_validation_box.,implemented_but_provisional,False,True,True,"Fixed Phase 1 validation-box metadata is present with bounds [118.751, 124.305, 10.62, 16.026].",The box is frozen in metadata but has not yet been exercised through the final 2016-2022 accepted/rejected segment study.,config/phase1_baseline_selection.yaml; config/settings.yaml
drogued_segments_only_core_pool,core_architecture,Only drogued segments enter the core historical pool.,missing,False,True,False,"Prototype drifter headers expose columns ['time', 'lat', 'lon', 'ID', 've', 'vn'].",No explicit drogue-status filtering was found in the local Phase 1 data path.,data/drifters/CASE_2016-09-01/drifters_noaa.csv; src/services/validation.py
non_overlapping_72h_segments,core_architecture,Core regional validation uses non-overlapping 72 h segments.,partially_implemented,False,True,True,"Prototype Phase 1 runs are 72 h windows for dates ['output', 'output', 'output', 'output', 'output', 'output', 'output'], but no accepted/rejected segment registry exists.",The repo does not yet materialize a general non-overlapping segment registry for the 2016-2022 regional pool.,output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_baseline_selection_candidate.yaml; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_accepted_segment_registry.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_local_input_inventory.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_production_manifest.json; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_official_adoption_decision.json; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_official_adoption_decision.md; config/phase1_baseline_selection.yaml
official_recipe_family,core_architecture,Official Phase 1 recipe family is HYCOM/CMEMS crossed with GFS/ERA5.,partially_implemented,False,True,True,"Target recipe family metadata = ['cmems_era5', 'cmems_gfs', 'hycom_era5', 'hycom_gfs']; runtime Phase 1 recipe IDs = ['cmems_era5', 'cmems_gfs', 'cmems_ncep', 'hycom_era5', 'hycom_gfs', 'hycom_ncep']; legacy alias map = ['cmems_ncep', 'hycom_ncep']; gfs_wind.nc present locally = True.",The core runtime family is present but still needs the final multi-year rerun.,config/recipes.yaml
loading_audit_hard_fail_behavior,core_architecture,Phase 1 writes an explicit loading audit and hard-fails when required forcing support is invalid.,implemented_and_scientifically_ready,True,False,True,Validation service exposes phase1_loading_audit_v2 with policy `invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain`. Existing on-disk Phase 1 audits already carry the new fields = True.,,output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv; output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv; src/services/validation.py
accepted_segment_registry,required_artifacts,Accepted regional Phase 1 segments are recorded in an explicit registry.,implemented_but_provisional,False,True,False,"Accepted-segment registry candidates: ['output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_accepted_segment_registry.csv', 'output/phase1_production_rerun/phase1_accepted_segment_registry.csv'].",The final 2016-2022 accepted regional segment registry has not been produced locally.,output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_accepted_segment_registry.csv; output/phase1_production_rerun/phase1_accepted_segment_registry.csv
rejected_segment_registry,required_artifacts,Rejected regional Phase 1 segments are recorded in an explicit registry.,implemented_but_provisional,False,True,False,"Rejected-segment registry candidates: ['output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_rejected_segment_registry.csv', 'output/phase1_production_rerun/phase1_rejected_segment_registry.csv'].",The final 2016-2022 rejected regional segment registry has not been produced locally.,output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_rejected_segment_registry.csv; output/phase1_production_rerun/phase1_rejected_segment_registry.csv
segment_metrics,required_artifacts,Phase 1 exports segment-level metrics for the accepted/rejected regional pool.,implemented_but_provisional,False,True,False,"Segment-metrics candidates: ['output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_segment_metrics.csv', 'output/phase1_production_rerun/phase1_segment_metrics.csv'].",The final regional accepted/rejected segment metrics still require the dedicated 2016-2022 run.,output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_segment_metrics.csv; output/phase1_production_rerun/phase1_segment_metrics.csv
recipe_summary,required_artifacts,Phase 1 exports a summary table across the regional segment study before final recipe ranking.,implemented_but_provisional,False,True,False,"Phase 1 recipe-summary candidates: ['output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_summary.csv', 'output/phase1_production_rerun/phase1_recipe_summary.csv'].",The regional recipe-summary layer still needs to be generated from the final segment registry.,output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_summary.csv; output/phase1_production_rerun/phase1_recipe_summary.csv
