phase_id,track_id,track_label,readiness_status,scientifically_reportable,scientifically_frozen,inherited_provisional,main_blocker,reportable_now,reportability_scope,summary,evidence_path
phase1,phase1_regional_baseline,Phase 1 regional transport baseline selection,architecture_audited_production_rerun_needed,False,False,False,"The repo still lacks the accepted/rejected drogued 72 h segment registry generated from a true 2016-2022 regional drifter pool, so the frozen baseline cannot yet be defended as the final Chapter 3 Phase 1 study.",False,not_yet_scientifically_reportable,Architecture audited; the final 2016-2022 production rerun is still needed.,output/phase1_finalization_audit/phase1_finalization_status.json
phase2,phase2_machine_readable_forecast,Phase 2 machine-readable forecast products,scientifically_usable_not_frozen,True,False,True,"Phase 2 still depends on a later Phase 1 production rerun for the final frozen-baseline story, and the official recipe family remains only partially available locally because legacy *_ncep runtime IDs remain in config space while gfs_wind.nc is still absent.",True,scientifically_usable_official_forecast_products,"Scientifically usable as implemented, but not yet frozen.",output/phase2_finalization_audit/phase2_finalization_status.json
phase3a,A,Mindoro March 13 -> March 14 cross-model comparator,scientifically_informative_comparator,True,False,True,Comparator-only track with a shared-imagery caveat; upstream Mindoro transport baseline is still not frozen.,True,comparative_benchmark_discussion,"Comparator-only lane on the promoted March 14 target. fss_1km=0.0000, fss_3km=0.0441, fss_5km=0.1371, fss_10km=0.2490",output/final_validation_package/final_validation_manifest.json
phase3b,B1,Mindoro March 13 -> March 14 NOAA reinit primary validation,scientifically_reportable_primary_validation,True,False,True,"The frozen recipe still comes from three legacy prototype dates, not from a completed 2016-2022 regional drifter-segment study.",True,main_text_primary_validation,"Promoted primary validation; later 2016-2023 drifter rerun confirmed the same cmems_era5 recipe; inherited-provisional; not frozen. fss_1km=0.0000, fss_3km=0.0441, fss_5km=0.1371, fss_10km=0.2490",output/final_validation_package/final_validation_manifest.json
phase3b,B2,Mindoro legacy March 6 sparse strict reference,scientifically_reportable_legacy_reference,True,False,True,"The frozen recipe still comes from three legacy prototype dates, not from a completed 2016-2022 regional drifter-segment study.",True,legacy_sparse_reference,"Legacy honesty reference; not the promoted primary row. fss_1km=0.0000, fss_3km=0.0000, fss_5km=0.0000, fss_10km=0.0000",output/final_validation_package/final_validation_manifest.json
phase3b,B3,Mindoro legacy March 3-6 broader-support reference,scientifically_reportable_legacy_reference,True,False,True,"The frozen recipe still comes from three legacy prototype dates, not from a completed 2016-2022 regional drifter-segment study.",True,legacy_broader_support_reference,"Legacy broader-support context; not a primary row. fss_1km=0.1722, fss_3km=0.2004, fss_5km=0.2166, fss_10km=0.2438",output/final_validation_package/final_validation_manifest.json
phase3c,C1,DWH deterministic external transfer validation,scientifically_reportable_transfer_validation,True,False,True,"The frozen recipe still comes from three legacy prototype dates, not from a completed 2016-2022 regional drifter-segment study.",True,external_rich_data_transfer_validation,"Main DWH transfer-validation track. fss_1km=0.5033, fss_3km=0.5523, fss_5km=0.5700, fss_10km=0.6018",output/final_validation_package/final_validation_manifest.json
phase3c,C2,DWH ensemble external transfer validation,scientifically_reportable_transfer_validation,True,False,True,"The frozen recipe still comes from three legacy prototype dates, not from a completed 2016-2022 regional drifter-segment study.",True,external_rich_data_transfer_validation,"DWH ensemble comparison on the same truth masks. fss_1km=0.4997, fss_3km=0.5299, fss_5km=0.5467, fss_10km=0.5790",output/final_validation_package/final_validation_manifest.json
phase3c,C3,DWH PyGNOME comparator,scientifically_reportable_comparator,True,False,True,Comparator-only track; PyGNOME is not truth and remains below OpenDrift on the current DWH case.,True,cross_model_comparator,"DWH cross-model comparator; PyGNOME not truth. fss_1km=0.3197, fss_3km=0.3495, fss_5km=0.3689, fss_10km=0.4068",output/final_validation_package/final_validation_manifest.json
phase4,mindoro_phase4,Mindoro Phase 4 oil-budget interpretation,scientifically_reportable_inherited_provisional,True,False,True,"The frozen recipe still comes from three legacy prototype dates, not from a completed 2016-2022 regional drifter-segment study.",True,mindoro_oil_type_and_shoreline_interpretation,Phase 4 OpenDrift/OpenOil-only interpretation; inherited-provisional.,output/phase4/CASE_MINDORO_RETRO_2023/phase4_run_manifest.json
phase5,phase5_sync,Phase 5 reproducibility / launcher / docs sync,implemented_reportable_non_scientific_sync_layer,False,False,False,,True,non_scientific_reproducibility_and_documentation_layer,"Launcher, docs, and reproducibility packaging are synchronized around the current repo state without rerunning expensive science.",output/final_reproducibility_package/phase5_final_verdict.md
phase5,phase5_read_only_dashboard,Phase 5 read-only local dashboard,implemented_reportable_non_scientific_read_only_ui,False,False,True,Interactive run controls remain intentionally deferred; the first UI version is read-only by design.,True,read_only_local_dashboard_for_existing_outputs,The local dashboard is now available as a read-only Phase 5 exploration layer built on the current packaging outputs and publication-grade figures.,docs/UI_GUIDE.md
