"table_number","table_title","column_name","row_identifier","exact_value","source_file","row_column_or_key","caveat"
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","rank","cmems_gfs","1","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_gfs, column=rank",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","valid_segment_count","cmems_gfs","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_gfs, column=valid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","invalid_segment_count","cmems_gfs","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_gfs, column=invalid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","mean_ncs_score","cmems_gfs","4.588584452986011","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_gfs, column=mean_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","median_ncs_score","cmems_gfs","4.630454993308714","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_gfs, column=median_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","is_gfs_recipe","cmems_gfs","True","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_gfs, column=is_gfs_recipe",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","rank","cmems_era5","2","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_era5, column=rank",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","valid_segment_count","cmems_era5","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_era5, column=valid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","invalid_segment_count","cmems_era5","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_era5, column=invalid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","mean_ncs_score","cmems_era5","4.623690463065895","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_era5, column=mean_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","median_ncs_score","cmems_era5","4.59159065081077","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_era5, column=median_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","is_gfs_recipe","cmems_era5","False","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=cmems_era5, column=is_gfs_recipe",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","rank","hycom_gfs","3","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_gfs, column=rank",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","valid_segment_count","hycom_gfs","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_gfs, column=valid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","invalid_segment_count","hycom_gfs","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_gfs, column=invalid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","mean_ncs_score","hycom_gfs","4.702732708555586","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_gfs, column=mean_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","median_ncs_score","hycom_gfs","4.92633009235389","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_gfs, column=median_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","is_gfs_recipe","hycom_gfs","True","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_gfs, column=is_gfs_recipe",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","rank","hycom_era5","4","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_era5, column=rank",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","valid_segment_count","hycom_era5","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_era5, column=valid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","invalid_segment_count","hycom_era5","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_era5, column=invalid_segment_count",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","mean_ncs_score","hycom_era5","4.756127725245334","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_era5, column=mean_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","median_ncs_score","hycom_era5","5.010588152593461","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_era5, column=median_ncs_score",""
"Table 5.2","focused Mindoro Phase 1 recipe-ranking summary","is_gfs_recipe","hycom_era5","False","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","recipe=hycom_era5, column=is_gfs_recipe",""
"Table 5.3","Phase 1 loading-audit summary","valid_rows","cmems_era5","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_era5, grouped valid rows",""
"Table 5.3","Phase 1 loading-audit summary","invalid_rows","cmems_era5","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_era5, grouped invalid rows",""
"Table 5.3","Phase 1 loading-audit summary","hard_fail_rows","cmems_era5","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_era5, grouped hard_fail rows",""
"Table 5.3","Phase 1 loading-audit summary","actual_readers","cmems_era5","Reader<cmems_curr.nc> | Reader<era5_wind.nc> | Reader<cmems_wave.nc>","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_era5, actual_current_reader/actual_wind_reader/actual_wave_reader",""
"Table 5.3","Phase 1 loading-audit summary","wave_loading_status","cmems_era5","loaded","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_era5, column=wave_loading_status",""
"Table 5.3","Phase 1 loading-audit summary","valid_rows","cmems_gfs","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_gfs, grouped valid rows",""
"Table 5.3","Phase 1 loading-audit summary","invalid_rows","cmems_gfs","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_gfs, grouped invalid rows",""
"Table 5.3","Phase 1 loading-audit summary","hard_fail_rows","cmems_gfs","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_gfs, grouped hard_fail rows",""
"Table 5.3","Phase 1 loading-audit summary","actual_readers","cmems_gfs","Reader<cmems_curr.nc> | Reader<gfs_wind.nc> | Reader<cmems_wave.nc>","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_gfs, actual_current_reader/actual_wind_reader/actual_wave_reader",""
"Table 5.3","Phase 1 loading-audit summary","wave_loading_status","cmems_gfs","loaded","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=cmems_gfs, column=wave_loading_status",""
"Table 5.3","Phase 1 loading-audit summary","valid_rows","hycom_era5","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_era5, grouped valid rows",""
"Table 5.3","Phase 1 loading-audit summary","invalid_rows","hycom_era5","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_era5, grouped invalid rows",""
"Table 5.3","Phase 1 loading-audit summary","hard_fail_rows","hycom_era5","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_era5, grouped hard_fail rows",""
"Table 5.3","Phase 1 loading-audit summary","actual_readers","hycom_era5","Reader<hycom_curr.nc> | Reader<era5_wind.nc> | Reader<cmems_wave.nc>","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_era5, actual_current_reader/actual_wind_reader/actual_wave_reader",""
"Table 5.3","Phase 1 loading-audit summary","wave_loading_status","hycom_era5","loaded","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_era5, column=wave_loading_status",""
"Table 5.3","Phase 1 loading-audit summary","valid_rows","hycom_gfs","19","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_gfs, grouped valid rows",""
"Table 5.3","Phase 1 loading-audit summary","invalid_rows","hycom_gfs","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_gfs, grouped invalid rows",""
"Table 5.3","Phase 1 loading-audit summary","hard_fail_rows","hycom_gfs","0","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_gfs, grouped hard_fail rows",""
"Table 5.3","Phase 1 loading-audit summary","actual_readers","hycom_gfs","Reader<hycom_curr.nc> | Reader<gfs_wind.nc> | Reader<cmems_wave.nc>","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_gfs, actual_current_reader/actual_wind_reader/actual_wave_reader",""
"Table 5.3","Phase 1 loading-audit summary","wave_loading_status","hycom_gfs","loaded","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","recipe=hycom_gfs, column=wave_loading_status",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","product_group","control_footprint_mask","deterministic_control","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_footprint_mask_*.tif",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","representative_pattern_or_file","control_footprint_mask","control_footprint_mask_*.tif","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_footprint_mask_*.tif",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","stored_file_count","control_footprint_mask","3","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_footprint_mask_*.tif",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","valid_times_or_dates","control_footprint_mask","2023-03-04T09-59-00Z | 2023-03-05T09-59-00Z | 2023-03-06T09-59-00Z","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_footprint_mask_*.tif",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","exact_directory","control_footprint_mask","output/CASE_MINDORO_RETRO_2023/forecast","output/CASE_MINDORO_RETRO_2023/forecast","directory listing",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","semantics","control_footprint_mask","Binary deterministic control footprint mask.","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_footprint_mask_*.tif",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","product_group","control_density_norm","deterministic_control","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_density_norm_*.tif",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","representative_pattern_or_file","control_density_norm","control_density_norm_*.tif","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_density_norm_*.tif",""
"Table 5.4","Phase 2 deterministic and ensemble product inventory","stored_file_count","control_density_norm","3","output/CASE_MINDORO_RETRO_2023/forecast","pattern=control_density_norm_*.tif",""
