figure_id,board_family_code,board_family_label,case_id,phase_or_track,date_token,model_names,run_type,scenario_id,variant,relative_path,file_path,plain_language_interpretation,recommended_for_main_defense,source_paths,notes
case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_vs_ensemble_board,H,DWH deterministic vs ensemble board,CASE_DWH_RETRO_2010_72H,phase3c_ensemble,2010-05-21_to_2010-05-23,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_vs_ensemble_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_vs_ensemble_board.png,"This board is ready for the panel because it explains the practical meaning of deterministic, p50, and p90 products side by side on the DWH case.",True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__p50_p90_overlays.png,Built from stored DWH deterministic and ensemble QA figures plus the raw gallery overlays.
case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_board,G,DWH deterministic forecast-vs-observation board,CASE_DWH_RETRO_2010_72H,phase3c_external_case_run,2010-05-21_to_2010-05-23,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_board.png,The DWH deterministic board is panel-ready and supports the plain-language claim that the transport framework transfers successfully to a richer external case.,True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_eventcorridor_overlay.png;output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_overlays.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__deterministic_track_map__2010_05_20_to_2010_05_23__sampled_particle_paths.png,Built from stored DWH deterministic QA figures and the raw deterministic track map.
case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__panel_board__2010_05_21_to_2010_05_23__panel__dwh_model_comparison_board,I,DWH OpenDrift vs PyGNOME comparison board,CASE_DWH_RETRO_2010_72H,phase3c_pygnome_comparator,2010-05-21_to_2010-05-23,opendrift_vs_pygnome,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__panel_board__2010_05_21_to_2010_05_23__panel__dwh_model_comparison_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__panel_board__2010_05_21_to_2010_05_23__panel__dwh_model_comparison_board.png,The DWH model-comparison board is presentation-ready because it clearly positions PyGNOME as a comparator and keeps the OpenDrift-rich-data success story visible.,True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/qa_phase3c_eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__per_date_overlays.png,Built from stored DWH comparator QA figures and the deterministic event-corridor overlay.
case_dwh_retro_2010_72h__phase3c_trajectories__opendrift_vs_pygnome__panel_board__2010_05_20_to_2010_05_23__panel__dwh_trajectory_board,J,DWH trajectory board,CASE_DWH_RETRO_2010_72H,phase3c_trajectories,2010-05-20_to_2010-05-23,opendrift_vs_pygnome,panel_board,,panel,output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_trajectories__opendrift_vs_pygnome__panel_board__2010_05_20_to_2010_05_23__panel__dwh_trajectory_board.png,/app/output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_trajectories__opendrift_vs_pygnome__panel_board__2010_05_20_to_2010_05_23__panel__dwh_trajectory_board.png,The DWH trajectory board is useful appendix-support material because it makes the model-path behavior visible before score comparisons.,False,output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__p50_p90_overlays.png;output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__deterministic_track_map__2010_05_20_to_2010_05_23__sampled_particle_paths.png;output/trajectory_gallery_panel/_support/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__pygnome__sampled_track_panel__2010_05_20_to_2010_05_23__support__dwh_pygnome_track.png,"Built from the raw DWH deterministic track map, the raw ensemble overlay, and a new read-only sampled PyGNOME track panel derived from the stored comparator NetCDF."
case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board,D,Mindoro trajectory board,CASE_MINDORO_RETRO_2023,phase2_official,2023-03-03_to_2023-03-06,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board.png,"The Mindoro trajectory board is one of the clearest early-slide figures because it shows path, spread, and corridor structure without relying on score-table literacy.",True,output/trajectory_gallery/case_mindoro_retro_2023__phase2_official__opendrift__deterministic_track_map__2023_03_03_to_2023_03_06__sampled_particle_paths.png;output/trajectory_gallery/case_mindoro_retro_2023__phase2_official__opendrift__ensemble_sampled_member_centroids__2023_03_03_to_2023_03_06__member_centroid_paths.png;output/trajectory_gallery/case_mindoro_retro_2023__phase2_phase3b__opendrift__corridor_hull_view__2023_03_06__p50_p90_hull_overlay.png,Built from the existing raw trajectory gallery panels.
case_mindoro_retro_2023__phase3a_benchmark__opendrift_vs_pygnome__panel_board__2023_03_04_to_2023_03_06__panel__mindoro_model_comparison_board,C,Mindoro OpenDrift vs PyGNOME comparison board,CASE_MINDORO_RETRO_2023,phase3a_benchmark,2023-03-04_to_2023-03-06,opendrift_vs_pygnome,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3a_benchmark__opendrift_vs_pygnome__panel_board__2023_03_04_to_2023_03_06__panel__mindoro_model_comparison_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3a_benchmark__opendrift_vs_pygnome__panel_board__2023_03_04_to_2023_03_06__panel__mindoro_model_comparison_board.png,This board is ready for panel presentation because it makes the comparator role of PyGNOME explicit while preserving the official OpenDrift framing.,True,output/CASE_MINDORO_RETRO_2023/phase3b/qa_phase3b_obsmask_vs_p50.png;output/CASE_MINDORO_RETRO_2023/pygnome_public_comparison/qa_pygnome_public_comparison_eventcorridor_overlay.png;output/CASE_MINDORO_RETRO_2023/pygnome_public_comparison/qa_pygnome_public_comparison_overlays.png,Built from stored Mindoro public-comparison QA figures and the strict March 6 overlay.
case_mindoro_retro_2023__phase3b_strict__opendrift__panel_board__2023_03_06__panel__mindoro_strict_march6_board,A,Mindoro strict March 6 forecast-vs-observation board,CASE_MINDORO_RETRO_2023,phase3b_strict,2023-03-06,opendrift,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_strict__opendrift__panel_board__2023_03_06__panel__mindoro_strict_march6_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_strict__opendrift__panel_board__2023_03_06__panel__mindoro_strict_march6_board.png,The strict March 6 board is presentation-ready as an honesty board: it shows a hard sparse case where the official products are intentionally stressed and should not be oversold.,True,output/CASE_MINDORO_RETRO_2023/phase3b/qa_phase3b_obsmask_vs_p50.png;output/CASE_MINDORO_RETRO_2023/phase3b/qa_phase3b_source_init_validation_overlay.png;output/trajectory_gallery/case_mindoro_retro_2023__phase2_official__opendrift__deterministic_track_map__2023_03_03_to_2023_03_06__sampled_particle_paths.png,Built from stored Mindoro strict Phase 3B QA figures and the existing raw deterministic track panel.
case_mindoro_retro_2023__phase3b_support__opendrift_vs_pygnome__panel_board__2023_03_04_to_2023_03_06__panel__mindoro_eventcorridor_board,B,Mindoro March 4-6 event-corridor board,CASE_MINDORO_RETRO_2023,phase3b_support,2023-03-04_to_2023-03-06,opendrift_vs_pygnome,panel_board,,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_support__opendrift_vs_pygnome__panel_board__2023_03_04_to_2023_03_06__panel__mindoro_eventcorridor_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase3b_support__opendrift_vs_pygnome__panel_board__2023_03_04_to_2023_03_06__panel__mindoro_eventcorridor_board.png,The Mindoro event-corridor board gives the panel a broader visual context than the strict March 6 board alone and shows why the support track is still scientifically informative.,False,output/CASE_MINDORO_RETRO_2023/pygnome_public_comparison/qa_pygnome_public_comparison_eventcorridor_overlay.png;output/CASE_MINDORO_RETRO_2023/pygnome_public_comparison/qa_pygnome_public_comparison_overlays.png;output/trajectory_gallery/case_mindoro_retro_2023__phase2_phase3b__opendrift__corridor_hull_view__2023_03_06__p50_p90_hull_overlay.png,Built from stored Mindoro PyGNOME comparison QA figures and the raw corridor/hull gallery panel.
case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_oil_budget_board,E,Mindoro Phase 4 oil-budget board,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,panel_board,all_scenarios,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_oil_budget_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_oil_budget_board.png,"Mindoro Phase 4 already supports clear oil-type comparisons on the currently reportable transport replay, with the medium-heavy proxy still flagged for mass-balance follow-up.",True,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_summary__2023_03_03_to_2023_03_06__all_scenarios__mass_budget_comparison.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__mass_budget_timeseries.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__heavier_oil__mass_budget_timeseries.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__lighter_oil__mass_budget_timeseries.png,Built from stored Phase 4 oil-budget PNG outputs only; no weathering rerun was triggered.
case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_shoreline_board,F,Mindoro Phase 4 shoreline-arrival / shoreline-impact board,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,panel_board,all_scenarios,panel,output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_shoreline_board.png,/app/output/trajectory_gallery_panel/case_mindoro_retro_2023__phase4__openoil__panel_board__2023_03_03_to_2023_03_06__all_scenarios__panel__mindoro_phase4_shoreline_board.png,"Shoreline arrival outputs and scenario-specific segment impacts are available now for Mindoro, with heavier oils producing the strongest shoreline burden under the current replay.",True,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_arrival_summary__2023_03_03_to_2023_03_06__all_scenarios__scenario_arrival_bars.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_impact_summary__2023_03_03_to_2023_03_06__all_scenarios__shoreline_impacts.png;output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_segment_impact_map__2023_03_03_to_2023_03_06__all_scenarios__segment_midpoint_impacts.png,Built from stored Phase 4 shoreline summary figures and CSV-derived gallery outputs only.
