"proposed_table_number","proposed_table_title","repo_path_or_source","chapter_section","evidence_role","key_columns_or_metrics","preferred_or_optional","notes"
"Table 5.1","Result lanes, allowed thesis use, and interpretation boundaries.","output/final_reproducibility_package/final_phase_status_registry.csv | docs/THESIS_SURFACE_GOVERNANCE.md | output/figure_package_publication/publication_figure_inventory.md","5.1 Overview of Reportable Result Lanes and Evidence Boundaries","artifact governance","phase_id, track_id, readiness_status, scientifically_reportable, scientifically_frozen, reportability_scope, summary, main_blocker","preferred","Anchor the evidence-boundary language here."
"Table 5.2","Prototype / historical-development asset summary.","output/2016 Legacy Runs FINAL Figures/manifests/prototype_2016_final_output_registry.csv | output/2016 Legacy Runs FINAL Figures/summary/phase3a/prototype_pygnome_case_registry.csv","5.2 Prototype Development and Drifter-Track Transport Results","prototype / exploratory","case_id, stored figure families, summary files, support-only notes","optional","Useful compact inventory of the preserved 2016 lane."
"Table 5.3","Focused Mindoro Phase 1 recipe ranking.","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv","5.3 Focused Mindoro Phase 1 Recipe-Selection Findings","recipe-selection evidence","recipe, rank, mean_ncs_score, median_ncs_score, std_ncs_score, min_ncs_score, max_ncs_score, segment_count","preferred","Core stored ranking table for the cmems_gfs winner."
"Table 5.4","Focused Mindoro loading audit summary.","output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_loading_audit.csv","5.3 Focused Mindoro Phase 1 Recipe-Selection Findings","recipe-selection evidence","recipe, validity_flag, hard_fail, current_fallback_used, wind_fallback_used, wave_fallback_used, wave_loading_status, ncs_score","preferred","Summarize the raw CSV by recipe in the chapter body."
"Table 5.5","Standardized Phase 2 forecast-product inventory and mask semantics.","output/phase2_finalization_audit/phase2_output_catalog.csv | output/CASE_MINDORO_RETRO_2023/forecast/forecast_manifest.json | output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json","5.4 Standardized Forecast Product Outputs","support/context","product_type, product_group, semantics, canonical_path, timestamp_utc or date_utc, same_grid_as_other_phase2_products","preferred","Define prob_presence, mask_p50, and mask_p90 exactly as stored."
"Table 5.6","Mindoro B1 FSS by window and branch outcome.","output/Phase 3B March13-14 Final Output/summary/opendrift_primary/march13_14_reinit_fss_by_window.csv | output/Phase 3B March13-14 Final Output/summary/opendrift_primary/march13_14_reinit_summary.csv","5.5 Mindoro Public-Validation Findings","main evidence","branch_id, window_km, fss, forecast_nonzero_cells, obs_nonzero_cells, centroid_distance_m, mean_fss","preferred","Keep the promoted discussion on R1_previous only."
"Table 5.7","Mindoro Track A comparator metrics.","output/Phase 3B March13-14 Final Output/summary/comparator_pygnome/march13_14_reinit_crossmodel_model_ranking.csv | output/Phase 3B March13-14 Final Output/summary/comparator_pygnome/march13_14_reinit_crossmodel_fss_by_window.csv","5.5 Mindoro Public-Validation Findings","comparator-only","track_id, mean_fss, fss_1km, fss_3km, fss_5km, fss_10km, centroid_distance_m, rank_position","preferred","Comparator-only table; do not merge it into B1."
"Table 5.8","DWH daily and event-corridor FSS summary across C1, C2, and C3.","output/Phase 3C DWH Final Output/summary/comparison/phase3c_main_scorecard.csv","5.6 Deepwater Horizon External Transfer-Validation Findings","external transfer-validation","track_id, model_product_label, date_token, result_scope, FSS@1km, FSS@3km, FSS@5km, FSS@10km, mean_fss, iou, dice","preferred","Use C1 as main transfer validation, C2 as ensemble extension, C3 as comparator-only."
"Table 5.9","Mindoro Phase 4 oil-budget summary across stored oil scenarios.","output/phase4/CASE_MINDORO_RETRO_2023/phase4_oil_budget_summary.csv","5.7 Mindoro Oil-Type and Shoreline Support Findings","support/context","scenario_id, oil_label, final_evaporated_pct, final_dispersed_pct, final_beached_pct, qc_passed, max_mass_balance_deviation_pct, first_shoreline_arrival_h","preferred","Include the fixed_base_medium_heavy_proxy QC caveat."
"Table 5.10","Mindoro Phase 4 shoreline-arrival and segment-impact summary.","output/phase4/CASE_MINDORO_RETRO_2023/phase4_shoreline_arrival.csv | output/phase4/CASE_MINDORO_RETRO_2023/phase4_shoreline_segments.csv","5.7 Mindoro Oil-Type and Shoreline Support Findings","support/context","scenario_id, first_shoreline_arrival_h, impacted_segment_count, total_beached_kg, segment_id, first_arrival_h, total_beached_kg","preferred","Shows the stored quantitative shoreline-support outputs."
"Table 5.11","Artifact-governance and reproducibility summary.","output/final_reproducibility_package/final_phase_status_registry.csv | output/final_reproducibility_package/final_manifest_index.csv | output/final_reproducibility_package/final_output_catalog.csv","5.8 Reproducibility, Artifact Governance, and Result Routing","artifact governance","track_id, readiness_status, scientifically_frozen, reportability_scope, evidence_path, manifest inventory","preferred","Use this to distinguish the publication package from the broader repo evidence base."
