"figure_number","suggested_caption","repo_path","result_lane","figure_role","exists_yes_no","notes"
"Figure 5.1","Result-lane summary diagram built from the stored phase-status registry and final validation package.","","cross-phase governance","summary diagram","no","No stored result-lane summary board was found; author from final_phase_status_registry.csv and final_validation_main_table.csv if needed."
"Figure 5.2","Focused Mindoro Phase 1 recipe-selection summary built from the focused ranking and loading audit.","","phase1","recipe-selection summary","no","No stored Phase 1 recipe-ranking figure was found; only study-context geography figures are present in the publication package."
"Figure 5.3","Mindoro Phase 2 trajectory and spread overview using the stored panel-ready trajectory board.","output/trajectory_gallery_panel/case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board.png","phase2","equivalent overview board","yes","Equivalent stored overview board found; this is a trajectory/spread panel rather than a bespoke product-family inventory figure."
"Figure 5.4","Mindoro B1 primary public-validation overlay board for the promoted March 13 -> March 14 row.","output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board.png","mindoro_b1","primary validation board","yes","Keep the observation-independence note explicit."
"Figure 5.5","Mindoro Track A OpenDrift versus PyGNOME comparator board for the March 14 support comparison.","output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png","mindoro_track_a","comparator board","yes","Comparator support only; PyGNOME is never truth."
"Figure 5.6","DWH C1 deterministic overlay board against the public observed daily masks.","output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__daily_deterministic_footprint_overview_board.png","dwh_c1","deterministic transfer-validation board","yes","Frozen DWH deterministic transfer-validation board."
"Figure 5.7","DWH deterministic versus mask_p50 versus mask_p90 board using the frozen ensemble extension outputs.","output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_ensemble_comparison__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__observed_deterministic_mask_p50_mask_p90_board.png","dwh_c2","deterministic-versus-ensemble board","yes","Probability semantics unchanged: prob_presence fraction of members; mask_p50 >= 0.50; mask_p90 >= 0.90."
"Figure 5.8","DWH C3 OpenDrift versus PyGNOME comparator board.","output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_dwh_pygnome_comparator__opendrift_vs_pygnome__comparison_board__2010_05_21_to_2010_05_23__board__slide__observed_deterministic_mask_p50_pygnome_board.png","dwh_c3","comparator board","yes","Comparator-only board; DWH observed masks remain truth."
"Figure 5.9","Mindoro Phase 4 oil-budget board across the stored OpenOil scenarios.","output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__oil_budget_board.png","phase4","oil-budget board","yes","Support/context only; no matched Phase 4 PyGNOME package is stored."
"Figure 5.10","Mindoro Phase 4 shoreline-arrival and shoreline-impact board across the stored OpenOil scenarios.","output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__shoreline_impact_board.png","phase4","shoreline board","yes","Support/context only; no matched Phase 4 PyGNOME package is stored."
