"proposed_figure_number","proposed_caption","repo_path","figure_family","chapter_section","evidence_role","thesis_use","why_it_should_be_in_chapter5","preferred_or_optional","file_exists_yes_no","notes"
"Figure 5.1","Result lanes and evidence boundaries for Chapter 5.","GENERATE_FROM: output/final_reproducibility_package/final_phase_status_registry.csv | docs/THESIS_SURFACE_GOVERNANCE.md | output/figure_package_publication/publication_figure_inventory.md","result-lane schematic","5.1 Overview of Reportable Result Lanes and Evidence Boundaries","unavailable but recommended","main text","Makes the evidence hierarchy explicit before figures are interpreted.","preferred","no","No exact stored figure found; can be generated from governance assets."
"Figure 5.2","Legacy 2016 drifter-versus-mask p50/p90 triptych board.","output/figure_package_publication/case_legacy_2016__prototype_2016_home_overview__observation_vs_opendrift__comparison_board__2016_09_01_to_2016_09_17__board__slide__legacy_2016_drifter_vs_mask_p50_mask_p90_triptych_board.png","2016 prototype board","5.2 Prototype Development and Drifter-Track Transport Results","prototype / exploratory","main text","Best stored proof that real drifter-track testing happened before the final public-mask validation lane.","preferred","yes","Use prototype/support language only."
"Figure 5.3","Study Box 4 prototype-search-box geography reference.","output/figure_package_publication/thesis_study_context__phase1_study_context__study_box_geography__single_box_reference_map__shared_thesis_context__single__paper__prototype_first_code_search_box_geography_reference.png","prototype provenance geography","5.2 Prototype Development and Drifter-Track Transport Results","prototype / exploratory","page support","Shows the historical-origin search box behind the preserved prototype lane.","optional","yes","Helpful provenance/support figure."
"Figure 5.4","Focused Phase 1 accepted February-April segment map.","GENERATE_FROM: output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_ranking_subset_registry.csv | output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_accepted_segment_registry.csv | config/phase1_mindoro_focus_pre_spill_2016_2023.yaml","focused Phase 1 segment map","5.3 Focused Mindoro Phase 1 Recipe-Selection Findings","unavailable but recommended","main text","The 19-segment ranking subset is central to the final Mindoro recipe story but is not already stored as a polished figure.","preferred","no","Generate from existing registries and Study Box 1 metadata."
"Figure 5.5","Focused Phase 1 recipe ranking and NCS comparison.","GENERATE_FROM: output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_ranking.csv | output/phase1_mindoro_focus_pre_spill_2016_2023/phase1_recipe_summary.csv","Phase 1 ranking chart","5.3 Focused Mindoro Phase 1 Recipe-Selection Findings","unavailable but recommended","main text","The ranking values exist, but a direct chart would make the recipe-selection evidence much more readable.","preferred","no","Lower mean NCS = better; keep 65 full strict vs 19 ranked subset distinct."
"Figure 5.6","Non-publication Mindoro trajectory board.","output/trajectory_gallery_panel/case_mindoro_retro_2023__phase2_official__opendrift__panel_board__2023_03_03_to_2023_03_06__panel__mindoro_trajectory_board.png","Mindoro trajectory panel","5.4 Standardized Forecast Product Outputs","support/context","main text","A stronger transport-to-product bridge figure than the package-only layer provides.","preferred","yes","New non-publication figure worth promoting into Chapter 5."
"Figure 5.7","Phase 2 product-family board with deterministic footprint, density, prob_presence, mask_p50, and mask_p90.","GENERATE_FROM: output/phase2_finalization_audit/phase2_output_catalog.csv | output/CASE_MINDORO_RETRO_2023/forecast/forecast_manifest.json | output/CASE_MINDORO_RETRO_2023/ensemble/ensemble_manifest.json","Phase 2 product board","5.4 Standardized Forecast Product Outputs","unavailable but recommended","main text","All source rasters exist, but there is no single stored board that explains the full product family.","preferred","no","Keep mask semantics unchanged."
"Figure 5.8","Scoring-grid bounds geography reference.","output/figure_package_publication/thesis_study_context__phase1_study_context__study_box_geography__single_box_reference_map__shared_thesis_context__single__paper__scoring_grid_bounds_geography_reference.png","scoring-grid geography","5.4 Standardized Forecast Product Outputs","support/context","page support","Helps explain common-grid and valid-ocean-domain scoring discipline.","optional","yes","Useful when discussing scoreability."
"Figure 5.9","Mindoro B1 primary validation board.","output/Phase 3B March13-14 Final Output/publication/opendrift_primary/mindoro_primary_validation_board.png","Mindoro B1 board","5.5 Mindoro Public-Validation Findings","main evidence","main text","This remains the primary Mindoro public-validation figure and should anchor the section.","preferred","yes","Retain the shared-imagery caveat in caption and text."
"Figure 5.10","March 14 R1_previous overlay for the promoted B1 row.","output/Phase 3B March13-14 Final Output/publication/opendrift_primary/march14_r1_previous_overlay.png","Mindoro B1 overlay","5.5 Mindoro Public-Validation Findings","support/context","page support","Easier to cite than the full board when discussing detailed shape match and FSS.","preferred","yes","Keep paired with the same B1 caveat."
"Figure 5.11","March 13 seed mask versus March 14 target mask.","output/Phase 3B March13-14 Final Output/publication/observations/march13_seed_vs_march14_target.png","observation pair reference","5.5 Mindoro Public-Validation Findings","support/context","page support","Clarifies why B1 is a reinit-validation row rather than a same-mask replay.","optional","yes","Transparency/support figure."
"Figure 5.12","Mindoro Track A cross-model comparator board.","output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png","Mindoro comparator board","5.5 Mindoro Public-Validation Findings","comparator-only","main text support","Supports the model-comparison story without displacing B1 as the main evidence row.","preferred","yes","Track A remains comparator-only; PyGNOME is never truth."
"Figure 5.13","Non-publication DWH deterministic board.","output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_board.png","DWH deterministic panel","5.6 Deepwater Horizon External Transfer-Validation Findings","external transfer-validation","main text","One of the strongest newly surfaced non-publication figures for the transfer-validation lane.","preferred","yes","Good main-text C1 board."
"Figure 5.14","Non-publication DWH deterministic-versus-ensemble board.","output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__panel_board__2010_05_21_to_2010_05_23__panel__dwh_deterministic_vs_ensemble_board.png","DWH deterministic-vs-ensemble panel","5.6 Deepwater Horizon External Transfer-Validation Findings","external transfer-validation","main text support","Shows why C2 is an ensemble extension of the same transfer-validation case.","preferred","yes","Use p50 as preferred ensemble extension; p90 as support only."
"Figure 5.15","Non-publication DWH OpenDrift-versus-PyGNOME board.","output/trajectory_gallery_panel/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__panel_board__2010_05_21_to_2010_05_23__panel__dwh_model_comparison_board.png","DWH comparator panel","5.6 Deepwater Horizon External Transfer-Validation Findings","comparator-only","main text support","Keeps C3 visible as a separate comparator-only lane rather than mixing it into C1/C2.","preferred","yes","Comparator-only support."
